id,question_id,answer_id,answer_text
1,1,"A","Las dos son levógiras."
2,1,"B","Las dos son dextrógiras."
3,1,"C","La hélice de babor es levógira y la de estribor es dextrógira."
4,1,"D","La hélice de babor es dextrógira y la de estribor es levógira."
5,2,"A","Recuperar el buque su posición de equilibrio después de haber estado escorado."
6,2,"B","Inclinarse el buque hacia una banda en sentido babor estribor."
7,2,"C","Aflojar un poco un cabo que estaba tenso."
8,2,"D","Elegir el lugar del fondeo."
9,3,"A","Las partes traseras de los costados que convergen hacia la popa."
10,3,"B","Las partes delanteras de los costados que convergen hacia la proa."
11,3,"C","Parte media, en sentido longitudinal, de cada uno de los costados."
12,3,"D","Partes laterales exteriores del casco, que se extienden de proa a popa."
13,4,"A","Filar."
14,4,"B","Virar."
15,4,"C","Zarpar."
16,4,"D","Levar. Elementos de amarre y fondeo."
17,5,"A","Al giro de una embarcación fondeada en torno al ancla, por efecto del viento o de la corriente, se le denomina garreo."
18,5,"B","En el momento de fondear se recomienda llevar una ligera arrancada atrás con objeto de que, al caer el ancla, la cadena se extienda correctamente en el fondo."
19,5,"C","De forma general, la longitud de cadena para un fondeo con mal tiempo, no será superior a una o dos veces la sonda del lugar de fondeo."
20,5,"D","De forma general, los fondos de algas son los mejores tenederos."
21,6,"A","Un tenedero es un cabo fino que se amarra por un extremo a la cruz del ancla y por otro a un boyarín para balizar el ancla."
22,6,"B","El círculo de borneo tiene un radio igual a la longitud de cadena filada."
23,6,"C","En el momento del fondeo la embarcación debe llevar una ligera arrancada en la dirección del viento."
24,6,"D","La longitud de la línea de fondeo no podrá ser inferior a cinco veces la eslora de la embarcación. Seguridad."
25,7,"A","Se reducirá la velocidad, no llegando en ningún caso a suprimir la arrancada."
26,7,"B","Los aparatos radioeléctricos de ayuda a la navegación (RADAR, AIS, sonda, etc.), se mantendrán en funcionamiento en todo momento."
27,7,"C","Se harán las señales acústicas reglamentarias."
28,7,"D","Es conveniente separarse de zonas de mucho tráfico o de recalada, de los estuarios de los ríos y bocanas de los puertos."
29,8,"A","Amarillo."
30,8,"B","Un color muy visible independientemente del mismo."
31,8,"C","Rojo."
32,8,"D","Naranja."
33,9,"A","Se conoce también como cabeceo."
34,9,"B","Se produce en sentido longitudinal (proa-popa)."
35,9,"C","Se produce en sentido transversal (babor-estribor)."
36,9,"D","Se produce cuando el par adrizante transversal de la embarcación es nulo."
37,10,"A","Está situado a babor, independientemente de la dirección del viento."
38,10,"B","Está más alejado de la región por la que viene el viento."
39,10,"C","Está situado a estribor, independientemente de la dirección del viento."
40,10,"D","Está más cerca de la región por la que viene el viento. Legislación."
41,11,"A","No se puede fondear."
42,11,"B","Se puede fondear, pero no se puede navegar."
43,11,"C","Se puede navegar a una velocidad no superior a tres nudos."
44,11,"D","No hay limitaciones, siempre que se adopten las precauciones necesarias para evitar riesgo a la seguridad de la vida humana en la mar."
45,12,"A","Pescado fresco."
46,12,"B","Mezclas oleosas."
47,12,"C","Aguas sucias."
48,12,"D","Desechos domésticos. Balizamiento."
49,13,"A","Las del cuadrante que da nombre a la marca."
50,13,"B","Las del cuadrante opuesto al que da nombre la marca."
51,13,"C","No indica la zona de las aguas más profundas."
52,13,"D","Las del cuadrante que da nombre a la marca y las del cuadrante opuesto al que da nombre la marca."
53,14,"A","Dos esferas rojas superpuestas."
54,14,"B","Dos esferas negras superpuestas."
55,14,"C","Una esfera negra."
56,14,"D","Una esfera roja."
57,15,"A","Amarillo y verde."
58,15,"B","Rojo y verde."
59,15,"C","Amarillo y rojo."
60,15,"D","Naranja y amarillo."
61,16,"A","Únicamente zonas o configuraciones especiales que no se visualizan al consultar cartas o publicaciones náuticas."
62,16,"B","Siempre zonas de ejercicios militares."
63,16,"C","Siempre zonas reservadas al recreo."
64,16,"D","Zonas o configuraciones especiales cuya naturaleza se visualiza al consultar la carta u otra publicación náutica."
65,17,"A","Cónica, de castillete o espeque, de color verde con una banda ancha horizontal roja."
66,17,"B","Cónica de color rojo."
67,17,"C","Cilíndrica, de castillete o espeque, de color rojo con una banda horizontal verde."
68,17,"D","Cónica de color verde. Reglamento (RIPA)."
69,18,"A","Se considera que está ""en navegación"", ya que debe exhibir las marcas o luces que el propio RIPA establece."
70,18,"B","Se considera que está ""en navegación"" solamente si exhibe las luces y/o marcas obligatorias que establece el RIPA, pero no en caso contrario."
71,18,"C","Se considera que está ""en navegación"" si está tripulado, pero no en caso contrario."
72,18,"D","No se considera ""en navegación"" en ningún caso."
73,19,"A","De una embarcación en servicio de practicaje, navegando de vuelta encontrada."
74,19,"B","De un buque de pesca de arrastre, navegando de vuelta encontrada."
75,19,"C","De un buque de pesca, no de arrastre, navegando de vuelta encontrada."
76,19,"D","De un buque con capacidad de maniobra restringida, navegando de vuelta encontrada."
77,20,"A","Irregulares, con una frecuencia de 20 o más centelleos por minuto."
78,20,"B","Irregulares, con una frecuencia de 120 o más centelleos por minuto."
79,20,"C","Regulares, con una frecuencia de 20 o más centelleos por minuto."
80,20,"D","Regulares, con una frecuencia de 120 o más centelleos por minuto."
81,21,"A","Se considerará banda de barlovento la que lleve cazada la vela mayor, o en el caso de las embarcaciones de aparejo cruzado, la banda contraria a la que se lleve cazada la mayor de las velas de cuchillo."
82,21,"B","Se considerará banda de barlovento la contraria a la que lleve cazada la vela mayor, o en el caso de las embarcaciones de aparejo cruzado, la banda contraria a la que se lleve cazada la mayor de las velas de cuchillo."
83,21,"C","Se considerará banda de barlovento la que lleve cazada la vela mayor, o en el caso de las embarcaciones de aparejo cruzado, la banda a la que se lleve cazada la mayor de las velas de cuchillo."
84,21,"D","Se considerará banda de barlovento la contraria a la que lleve cazada la vela mayor, o en el caso de las embarcaciones de aparejo cruzado, la banda a la que se lleve cazada la mayor de las velas de cuchillo."
85,22,"A","Un destello."
86,22,"B","Tres destellos."
