id,question_number,topic,question_text,exam_year,exam_month,exam_number
1,"1","Nomenclatura náutica","Cuando tenemos hélices gemelas de giro al exterior:","2020","12","01"
2,"2","Nomenclatura náutica","Se entiende por adrizar:","2020","12","01"
3,"3","Nomenclatura náutica","¿Qué son las amuras?","2020","12","01"
4,"4","Nomenclatura náutica","¿Cómo se denomina la maniobra de largar o arriar cabo o cadena?","2020","12","01"
5,"5","Elementos de amarre y fondeo","¿Cuál de las siguientes afirmaciones es CORRECTA?","2020","12","01"
6,"6","Elementos de amarre y fondeo","¿Cuál de las siguientes afirmaciones relativas al fondeo es CORRECTA?","2020","12","01"
7,"7","Seguridad","En caso de navegar con niebla señale la afirmación INCORRECTA:","2020","12","01"
8,"8","Seguridad","¿De qué color es la nube de humo producida por las señales fumígenas flotantes?","2020","12","01"
9,"9","Seguridad","El movimiento de balance:","2020","12","01"
10,"10","Seguridad","Entre dos barcos, se dice que un barco está a barlovento si:","2020","12","01"
11,"11","Legislación","En los tramos de costa que no estén balizados como zona de baño, que ocupa una franja de 200 metros en las playas y 50 metros en el resto de la costa:","2020","12","01"
12,"12","Legislación","¿Qué se entiende por ""basuras"", a los efectos del Convenio MARPOL 73/78, Anexo V?","2020","12","01"
13,"13","Balizamiento","Una marca cardinal indica que las aguas más profundas, en la zona en que se encuentra colocada, son:","2020","12","01"
14,"14","Balizamiento","La marca de tope de peligro aislado se indica con:","2020","12","01"
15,"15","Balizamiento","Las marcas laterales de la región A utilizan los siguientes colores para indicar los lados de un canal:","2020","12","01"
16,"16","Balizamiento","¿Qué indica una marca especial?","2020","12","01"
17,"17","Balizamiento","El punto de bifurcación de un canal, con el canal principal a estribor, se indicará con una marca cuya forma y color es:","2020","12","01"
18,"18","Reglamento (RIPA)","Según la Regla 3.i del RIPA, un buque fondeado:","2020","12","01"
19,"19","Reglamento (RIPA)","De acuerdo con la Regla 29 del RIPA, avistamos un buque que exhibe las siguientes luces: en línea vertical, dos luces, blanca la superior y roja la inferior; por debajo de éstas, y en línea horizontal, otras dos luces, siendo verde la que vemos más hacia ""nuestro"" babor y roja la que vemos más hacia ""nuestro"" estribor. ¿De qué buque se trata?","2020","12","01"
20,"20","Reglamento (RIPA)","De acuerdo con la Regla 21.f del RIPA, la ""luz centelleante"" es una luz que produce centelleos a intervalos:","2020","12","01"
21,"21","Reglamento (RIPA)","La definición de barlovento, de acuerdo con la Regla 12.b del RIPA, para embarcaciones de vela es la siguiente:","2020","12","01"
22,"22","Reglamento (RIPA)","Según la Regla 34 del RIPA, un buque de propulsión mecánica en navegación que esté a la vista de otro, podrá complementar las pitadas reglamentarias, para caer a babor, mediante la siguiente señal luminosa:","2020","12","01"
23,"23","Reglamento (RIPA)","Según la Regla 10.c si nos vemos obligados a cruzar una vía de circulación dentro de un dispositivo de separación de tráfico, lo haremos:","2020","12","01"
24,"24","Reglamento (RIPA)","Según la Regla 23.d del RIPA, ¿qué buques podrán exhibir, en lugar de las luces prescritas para buques de propulsión mecánica en navegación, una luz blanca todo horizonte y, si es posible, también luces de costado?","2020","12","01"
25,"25","Reglamento (RIPA)","Según establece la Regla 14.a del RIPA, en relación a dos buques que se encuentren en situación ""de vuelta encontrada"", ¿cúal de las siguientes afirmaciones es la CORRECTA?","2020","12","01"
26,"26","Reglamento (RIPA)","Según la regla 19 del RIPA, ¿cuál de las siguientes afirmaciones es CORRECTA?","2020","12","01"
27,"27","Reglamento (RIPA)","De acuerdo a la Regla 35.b del RIPA, un buque de propulsión mecánica en navegación, pero parado y sin arrancada, emitirá:","2020","12","01"
28,"28","Maniobra y navegación","Los cabos de amarre de un barco son:","2020","12","01"
